id;name;code;level;supergroup;supergroup_id;deepest level?
744;Left superior gemellus;Musc[7-2-3-1];5;Lateral rotator muscles of left hip;743;1
745;Left inferior gemellus;Musc[7-2-3-2];5;Lateral rotator muscles of left hip;743;1
746;Left quadratus femoris;Musc[7-2-3-3];5;Lateral rotator muscles of left hip;743;1
747;Left obturator externus;Musc[7-2-3-4];5;Lateral rotator muscles of left hip;743;1
748;Left obturator internus;Musc[7-2-3-5];5;Lateral rotator muscles of left hip;743;1
749;Left piriformis;Musc[7-2-3-6];5;Lateral rotator muscles of left hip;743;1
750;Muscles of left thigh;Musc[7-2-4];4;Muscles of left lower limb;732;0
751;Anterior compartment muscles of left thigh;Musc[7-2-4-1];5;Muscles of left thigh;750;0
752;Left sartorius;Musc[7-2-4-1-1];6;Anterior compartment muscles of left thigh;751;1
753;Left articularis genus;Musc[7-2-4-1-2];6;Anterior compartment muscles of left thigh;751;1
754;Left quadriceps femoris;Musc[7-2-4-1-3];6;Anterior compartment muscles of left thigh;751;0
755;Left vastus medialis;Musc[7-2-4-1-3-1];7;Left quadriceps femoris;754;1
756;Left vastus lateralis;Musc[7-2-4-1-3-2];7;Left quadriceps femoris;754;1
757;Left vastus intermedius;Musc[7-2-4-1-3-3];7;Left quadriceps femoris;754;1
758;Left rectus femoris;Musc[7-2-4-1-3-4];7;Left quadriceps femoris;754;1
759;Left quadriceps femoris tendon;Musc[7-2-4-1-3-5];7;Left quadriceps femoris;754;1
760;Posterior compartment muscles of left thigh;Musc[7-2-4-2];5;Muscles of left thigh;750;0
761;Left semimembranosus;Musc[7-2-4-2-1];6;Posterior compartment muscles of left thigh;760;1
762;Left semitendinosus;Musc[7-2-4-2-2];6;Posterior compartment muscles of left thigh;760;1
763;Left biceps femoris;Musc[7-2-4-2-3];6;Posterior compartment muscles of left thigh;760;1
764;Medial compartment muscles of left thigh;Musc[7-2-4-3];5;Muscles of left thigh;750;0
765;Left gracilis;Musc[7-2-4-3-1];6;Medial compartment muscles of left thigh;764;1
766;Left adductor longus;Musc[7-2-4-3-2];6;Medial compartment muscles of left thigh;764;1
767;Left adductor brevis;Musc[7-2-4-3-3];6;Medial compartment muscles of left thigh;764;1
768;Left pectineus;Musc[7-2-4-3-4];6;Medial compartment muscles of left thigh;764;1
769;Left adductor magnus;Musc[7-2-4-3-5];6;Medial compartment muscles of left thigh;764;1
770;Left adductor minimus;Musc[7-2-4-3-6];6;Medial compartment muscles of left thigh;764;1
771;Muscles of left lower leg;Musc[7-2-5];4;Muscles of left lower limb;732;0
772;Anterior compartment muscles of left lower leg;Musc[7-2-5-1];5;Muscles of left lower leg;771;0
773;Left tibialis anterior;Musc[7-2-5-1-1];6;Anterior compartment muscles of left lower leg;772;1
774;Left extensor hallucis longus;Musc[7-2-5-1-2];6;Anterior compartment muscles of left lower leg;772;1
775;Left extensor digitorum longus;Musc[7-2-5-1-3];6;Anterior compartment muscles of left lower leg;772;1
776;Left fibularis tertius;Musc[7-2-5-1-4];6;Anterior compartment muscles of left lower leg;772;1
777;Posterior compartment muscles of left lower leg;Musc[7-2-5-2];5;Muscles of left lower leg;771;0
778;Left gastrocnemius;Musc[7-2-5-2-1];6;Posterior compartment muscles of left lower leg;777;0
779;Lateral head of left gastrocnemius;Musc[7-2-5-2-1-1];7;Left gastrocnemius;778;1
780;Medial head of left gastrocnemius;Musc[7-2-5-2-1-2];7;Left gastrocnemius;778;1
781;Left plantaris;Musc[7-2-5-2-2];6;Posterior compartment muscles of left lower leg;777;1
782;Left soleus;Musc[7-2-5-2-3];6;Posterior compartment muscles of left lower leg;777;1
783;Left calcaneal tendon;Musc[7-2-5-2-4];6;Posterior compartment muscles of left lower leg;777;1
784;Left popliteus;Musc[7-2-5-2-5];6;Posterior compartment muscles of left lower leg;777;1
785;Left tibialis posterior;Musc[7-2-5-2-6];6;Posterior compartment muscles of left lower leg;777;1
786;Left flexor hallucis longus;Musc[7-2-5-2-7];6;Posterior compartment muscles of left lower leg;777;1
787;Left flexor digitorum longus;Musc[7-2-5-2-8];6;Posterior compartment muscles of left lower leg;777;1
788;Lateral compartment muscles of left lower leg;Musc[7-2-5-3];5;Muscles of left lower leg;771;0
789;Left fibularis longus;Musc[7-2-5-3-1];6;Lateral compartment muscles of left lower leg;788;1
790;Left fibularis brevis;Musc[7-2-5-3-2];6;Lateral compartment muscles of left lower leg;788;1
791;Muscles of left foot;Musc[7-2-6];4;Muscles of left lower limb;732;0
792;Plantar muscles of left foot;Musc[7-2-6-1];5;Muscles of left foot;791;0
793;Superficial plantar muscles of left foot;Musc[7-2-6-1-1];6;Plantar muscles of left foot;792;0
794;Left abductor hallucis;Musc[7-2-6-1-1-1];7;Superficial plantar muscles of left foot;793;1
795;Left flexor digitorum brevis;Musc[7-2-6-1-1-2];7;Superficial plantar muscles of left foot;793;1
796;Abductor digiti minimi of left foot;Musc[7-2-6-1-1-3];7;Superficial plantar muscles of left foot;793;1
797;Middle plantar muscles of left foot;Musc[7-2-6-1-2];6;Plantar muscles of left foot;792;0
798;Lumbrical muscles of left foot;Musc[7-2-6-1-2-1];7;Middle plantar muscles of left foot;797;0
799;First lumbrical muscle of left foot;Musc[7-2-6-1-2-1-1];8;Lumbrical muscles of left foot;798;1
800;Second lumbrical muscle of left foot;Musc[7-2-6-1-2-1-2];8;Lumbrical muscles of left foot;798;1
801;Third lumbrical muscle of left foot;Musc[7-2-6-1-2-1-3];8;Lumbrical muscles of left foot;798;1
802;Fourth lumbrical muscle of left foot;Musc[7-2-6-1-2-1-4];8;Lumbrical muscles of left foot;798;1
803;Left quadratus plantae;Musc[7-2-6-1-2-2];7;Middle plantar muscles of left foot;797;1
804;Deep plantar muscles of left foot;Musc[7-2-6-1-3];6;Plantar muscles of left foot;792;0
805;Left flexor hallucis brevis;Musc[7-2-6-1-3-1];7;Deep plantar muscles of left foot;804;0
806;Medial head of left flexor hallucis brevis;Musc[7-2-6-1-3-1-1];8;Left flexor hallucis brevis;805;1
807;Lateral head of left flexor hallucis brevis;Musc[7-2-6-1-3-1-2];8;Left flexor hallucis brevis;805;1
808;Left adductor hallucis;Musc[7-2-6-1-3-2];7;Deep plantar muscles of left foot;804;0
809;Left adductor hallucis oblique head;Musc[7-2-6-1-3-2-1];8;Left adductor hallucis;808;1
810;Left adductor hallucis transverse head;Musc[7-2-6-1-3-2-2];8;Left adductor hallucis;808;1
811;Plantar interosseous muscles of left foot;Musc[7-2-6-1-3-3];7;Deep plantar muscles of left foot;804;0
812;First plantar interosseous muscle of left foot;Musc[7-2-6-1-3-3-1];8;Plantar interosseous muscles of left foot;811;1
813;Second plantar interosseous muscle of left foot;Musc[7-2-6-1-3-3-2];8;Plantar interosseous muscles of left foot;811;1
814;Third plantar interosseous muscle of left foot;Musc[7-2-6-1-3-3-3];8;Plantar interosseous muscles of left foot;811;1
815;Left flexor digiti minimi brevis of foot;Musc[7-2-6-1-3-4];7;Deep plantar muscles of left foot;804;1
816;Dorsal muscles of left foot;Musc[7-2-6-2];5;Muscles of left foot;791;0
817;Superficial dorsal muscles of left foot;Musc[7-2-6-2-1];6;Dorsal muscles of left foot;816;0
818;Left extensor hallucis brevis;Musc[7-2-6-2-1-1];7;Superficial dorsal muscles of left foot;817;1
819;Left extensor digitorum brevis;Musc[7-2-6-2-1-2];7;Superficial dorsal muscles of left foot;817;1
820;Dorsal interosseous muscles of left foot;Musc[7-2-6-2-2];6;Dorsal muscles of left foot;816;0
821;First dorsal interosseus muscle of left foot;Musc[7-2-6-2-2-1];7;Dorsal interosseous muscles of left foot;820;1
822;Second dorsal interosseus muscle of left foot;Musc[7-2-6-2-2-2];7;Dorsal interosseous muscles of left foot;820;1
823;Third dorsal interosseus muscle of left foot;Musc[7-2-6-2-2-3];7;Dorsal interosseous muscles of left foot;820;1
824;Fourth dorsal interosseus muscle of left foot;Musc[7-2-6-2-2-4];7;Dorsal interosseous muscles of left foot;820;1
